| input_WFE |              r_0.00 |              r_0.04 |              r_0.08 |              r_0.12 |              r_0.16 |               r_0.20 |              r_0.24 |               r_0.28 |              r_0.32 |              r_0.36 |               r_0.40 |
|     2.512 | 0.30644122850936006 |  0.3083724593154961 | 0.29074185193891994 |  0.2805332445014295 |  0.2686851695927004 |    0.250937446770997 | 0.23937541656460407 |  0.21779080878079277 |  0.1965288858444659 |  0.1892294740268465 |  0.17767201431602322 |
|     2.669 | 0.29886519727611116 |  0.2884126589162729 |  0.2985863254066276 |  0.2789385614295606 | 0.27200275784790084 |   0.2625821088189625 |  0.2503264937535667 |  0.22513119226458153 |  0.2056959663540995 |  0.1980725313727344 |  0.18325404249636262 |
|     2.826 | 0.32614835685127996 | 0.29257678887530575 | 0.30182204836931004 |  0.2853335318267366 | 0.27688026704228946 |   0.2623091171657528 | 0.25833610692243036 |  0.23480579224511636 | 0.21223435593096113 | 0.21008709350865615 |   0.1876822947422813 |
|     2.983 | 0.31210029917401916 | 0.30947282569305484 |  0.2910397809939157 | 0.28851216077368075 |  0.2801967630854963 |   0.2698818841647202 |   0.250520813465856 |   0.2356016233476073 |  0.2246522332020326 |  0.2069907858015799 |  0.19619017047902357 |
|      3.14 | 0.31031094378868396 |    0.31541505131074 |  0.3026993120867104 |  0.3008563119718797 |  0.2842834674293364 |   0.2727269787280337 |  0.2606126807472538 |  0.24365946058457716 | 0.23158800068735635 | 0.22459501584099764 |  0.20155521710874194 |
|     3.297 |  0.3010572700982221 | 0.30565584589907313 | 0.28990026614037334 |  0.2881834230884944 |  0.2829275461017409 |   0.2778311772359169 | 0.26149778124141493 |   0.2552232537037973 |  0.2397620944516495 | 0.23465873951088384 |  0.20937644278796685 |
|     3.454 |  0.3003437732967793 |  0.2984457444123128 | 0.29734388558111546 | 0.29372472847721887 |  0.2884743037087798 |   0.2793295393025188 | 0.26752044992731483 |  0.25533260788630996 | 0.24392675304014194 | 0.23440358651428284 |  0.21592447745655796 |
|     3.611 |  0.3095063951395908 |  0.2976123937082855 | 0.30609366753994655 |  0.2936036865264443 |  0.2830990183069066 |    0.277669885926047 |  0.2730572738010768 |   0.2539819714644853 | 0.24909597367963857 | 0.24226819495434132 |   0.2245858257072367 |
|     3.768 | 0.28878269335024137 | 0.30861788639158294 |  0.3065959853640158 | 0.30203959802228764 |  0.2939113030945854 |   0.2855598202726907 |  0.2764769985421497 |   0.2673268828367784 | 0.25228044873780836 | 0.24419966760979975 |  0.23239859216557596 |
|     3.925 | 0.30950776592615353 |   0.311340844330368 | 0.30133081779803744 |  0.2975182101239729 |  0.2951052282285368 |   0.2907500185134065 |  0.2754191389399056 |   0.2726131651019583 | 0.25610000585052506 | 0.25294463281256435 |  0.24024396127294093 |
